Timestamp,Epoch,Avg_Reward,Avg_Reversal,Num_Eval_Episodes
2025-03-24 06:13:17,2930,31.55,22.15,20
2025-03-24 06:14:23,2940,31.25,22.25,20
2025-03-24 06:15:29,2950,32.75,21.75,20
2025-03-24 06:16:35,2960,31.1,22.3,20
2025-03-24 06:17:41,2970,31.1,22.3,20
2025-03-24 06:18:47,2980,33.2,21.6,20
2025-03-24 06:19:54,2990,31.85,22.05,20
2025-03-24 06:21:00,3000,30.95,22.35,20
2025-03-24 06:22:06,3010,32.6,21.8,20
2025-03-24 06:23:13,3020,31.55,22.15,20
2025-03-24 06:24:19,3030,30.95,22.35,20
2025-03-24 06:25:25,3040,29.75,22.75,20
2025-03-24 06:26:31,3050,31.4,22.2,20
2025-03-24 06:27:38,3060,29.9,22.7,20
2025-03-24 06:28:44,3070,31.4,22.2,20
2025-03-24 06:29:50,3080,33.05,21.65,20
2025-03-24 06:30:56,3090,30.5,22.5,20
2025-03-24 06:32:02,3100,30.5,22.5,20
2025-03-24 06:33:09,3110,32.3,21.9,20
2025-03-24 06:34:16,3120,30.5,22.5,20
2025-03-24 06:35:22,3130,31.6,22.2,20
2025-03-24 06:36:29,3140,31.1,22.3,20
2025-03-24 06:37:35,3150,31.55,22.15,20
2025-03-24 06:38:42,3160,30.8,22.4,20
2025-03-24 06:39:48,3170,32.75,21.75,20
2025-03-24 06:40:55,3180,32.3,21.9,20
2025-03-24 06:42:01,3190,31.55,22.15,20
2025-03-24 06:43:08,3200,30.3,22.6,20
2025-03-24 06:44:14,3210,30.05,22.65,20
2025-03-24 06:45:21,3220,33.0,21.7,20
2025-03-24 06:46:27,3230,31.7,22.1,20
2025-03-24 06:47:33,3240,30.9,22.4,20
2025-03-24 06:48:41,3250,33.05,21.65,20
2025-03-24 06:49:48,3260,29.15,22.95,20
2025-03-24 06:50:55,3270,31.65,22.15,20
2025-03-24 06:52:01,3280,32.3,21.9,20
2025-03-24 06:53:08,3290,29.45,22.85,20
2025-03-24 06:54:14,3300,32.3,21.9,20
2025-03-24 06:55:20,3310,30.35,22.55,20
2025-03-24 06:56:25,3320,29.4,22.9,20
2025-03-24 06:57:33,3330,30.65,22.45,20
2025-03-24 06:58:39,3340,29.75,22.75,20
2025-03-24 06:59:45,3350,29.55,22.85,20
2025-03-24 07:00:50,3360,30.35,22.55,20
2025-03-24 07:01:56,3370,31.7,22.1,20
2025-03-24 07:03:01,3380,31.7,22.1,20
2025-03-24 07:04:06,3390,30.95,22.35,20
2025-03-24 07:05:13,3400,30.8,22.4,20
2025-03-24 07:06:18,3410,30.9,22.4,20
2025-03-24 07:07:24,3420,31.85,22.05,20
2025-03-24 07:08:29,3430,31.85,22.05,20
2025-03-24 07:09:35,3440,32.45,21.85,20
2025-03-24 07:10:41,3450,32.0,22.0,20
2025-03-24 07:11:47,3460,31.1,22.3,20
2025-03-24 07:12:55,3470,31.85,22.05,20
2025-03-24 07:14:01,3480,30.5,22.5,20
2025-03-24 07:15:07,3490,31.25,22.25,20
2025-03-24 07:16:13,3500,30.2,22.6,20
2025-03-24 07:17:18,3510,33.2,21.6,20
2025-03-24 07:18:24,3520,31.1,22.3,20
2025-03-24 07:19:30,3530,32.3,21.9,20
2025-03-24 07:20:35,3540,30.2,22.6,20
2025-03-24 07:21:41,3550,30.8,22.4,20
2025-03-24 07:22:46,3560,31.7,22.1,20
2025-03-24 07:23:52,3570,29.9,22.7,20
2025-03-24 07:24:58,3580,31.1,22.3,20
2025-03-24 07:26:05,3590,31.85,22.05,20
2025-03-24 07:27:11,3600,30.2,22.6,20
2025-03-24 07:28:17,3610,32.0,22.0,20
2025-03-24 07:29:22,3620,30.2,22.6,20
2025-03-24 07:30:28,3630,31.7,22.1,20
2025-03-24 07:31:34,3640,29.6,22.8,20
